,Cod Cliente,Zona,Distrito,Comuna,Canal,SubCanal,TipoNeg,venta_total_clp,n_facturas,ticket_promedio,ticket_desv_std,dias_entre_compras,recencia
367,1041317,SANTIAGO,SANTIAGO PONIENTE 2,SAN BERNARDO,COBERTURA,COBERTURA,AL,614292,9,68254.66666666667,16830.587229802768,7.0,4
368,1041339,SANTIAGO,SANTIAGO CENTRO ORIENTE,LO BARNECHEA,COBERTURA,COBERTURA,AL,1009317,9,112146.33333333333,24561.6356438247,7.0,4
369,1041340,SANTIAGO,SANTIAGO SUR 1,SAN RAMON,COBERTURA,COBERTURA,AL,221066,6,36844.333333333336,3161.723306468589,11.2,4
370,1041368,NORTE 2,SAN FELIPE,SANTA MARIA,COBERTURA,COBERTURA,AL,566250,12,47187.5,24206.90191397336,7.0,4
371,1041379,NORTE 2,SAN FELIPE,LOS ANDES,COBERTURA,COBERTURA,MK,907620,11,82510.90909090909,64792.90511229535,9.8,11
372,1041419,SANTIAGO,SANTIAGO SUR 1,SAN JOAQUIN,COBERTURA,COBERTURA,AL,325134,8,40641.75,17930.078987556077,8.0,4
373,1041761,SUR 2,CHILLAN,RETIRO,COBERTURA,COBERTURA,AL,365537,8,45692.125,18346.80841405782,11.2,4
374,1041769,SUR 3,TEMUCO SUR,TEMUCO,COBERTURA,VOLUMEN COBERTURA,MK,4226889,15,281792.6,209974.48854488423,6.333333333333333,3
375,1041840,NORTE 1,IQUIQUE,ALTO HOSPICIO,COBERTURA,VOLUMEN COBERTURA,AL,1141618,15,76107.86666666667,59733.34502229371,7.0,4
376,1041900,SANTIAGO,SANTIAGO PONIENTE 1,MAIPU,COBERTURA,COBERTURA,AL,241469,6,40244.833333333336,10996.730503502695,11.2,4
377,1042011,NORTE 1,CALAMA,CALAMA,COBERTURA,COBERTURA,AL,420090,13,32314.615384615383,21190.239417942958,8.0,4
378,1042018,NORTE 2,VIÑA INTERIOR,HIJUELAS,COBERTURA,COBERTURA,AL,556519,11,50592.63636363636,35682.22198594904,8.0,4
379,1042131,SUR 1,CURICO,VICHUQUEN,COBERTURA,COBERTURA,AL,1438804,17,84635.5294117647,72421.96714405584,7.0,4
