,cluster,variable,promedio,desviacion_estandar,n_clientes
0,1,cv_ticket,0.6101020311512358,0.2937848122467831,871
1,1,hhi_familias,0.18489684991393987,0.09253197277763228,871
2,1,n_facturas,46.62227324913892,42.718414128230435,871
3,1,recencia,8.091848450057405,10.689271241892657,871
4,1,share_empaque_GRANEL,0.5081485414200847,0.24434334240778058,871
5,1,share_familia_JAMON G1,0.16862620527724528,0.12469140603979469,871
6,1,share_familia_JAMON G2,0.1480756362057306,0.11175786066763779,871
7,1,share_familia_MORTADELAS,0.12756657706591357,0.08945752058008662,871
8,1,share_familia_PARRILLEROS,0.03336524498624236,0.043786550307236424,871
9,1,share_familia_QUESOS,0.08004117570738402,0.12692307422192858,871
10,1,share_familia_VIENESAS,0.13110855111053532,0.10774039627194298,871
11,1,share_marca_LA PREFERIDA,0.42831267065406153,0.19120013136991362,871
12,1,share_marca_SAN JORGE,0.3306932066832515,0.16747685613090607,871
13,1,skus_distintos,53.48564867967853,28.602659843530414,871
14,1,ticket_promedio,344127.80951568024,181318.087386933,871
15,2,cv_ticket,0.6047403946362829,0.1925552563909024,7490
16,2,hhi_familias,0.15082698115771417,0.039610009053325734,7490
17,2,n_facturas,37.9720961281709,17.223217661376008,7490
18,2,recencia,6.713484646194926,5.040775623631745,7490
19,2,share_empaque_GRANEL,0.47298430243458667,0.20240800727793054,7490
20,2,share_familia_JAMON G1,0.1236040780365093,0.09243340042497515,7490
21,2,share_familia_JAMON G2,0.11573002767153018,0.09023358359300705,7490
22,2,share_familia_MORTADELAS,0.15147143967695895,0.09009813758458882,7490
23,2,share_familia_PARRILLEROS,0.01233484729440463,0.015588133048983098,7490
24,2,share_familia_QUESOS,0.09230811291188863,0.10706903381801305,7490
25,2,share_familia_VIENESAS,0.12881092461482035,0.07713090473875558,7490
26,2,share_marca_LA PREFERIDA,0.3964434070980948,0.15576553077550387,7490
27,2,share_marca_SAN JORGE,0.35928657776402256,0.14878678850503838,7490
28,2,skus_distintos,34.104806408544725,11.162432984379516,7490
29,2,ticket_promedio,88422.21293131055,44320.66957305723,7490
30,3,cv_ticket,0.42800861573958016,0.2640429101303938,1699
31,3,hhi_familias,0.32177878772157364,0.18953198638874874,1699
32,3,n_facturas,4.243672748675691,3.734340644386978,1699
33,3,recencia,146.94820482636845,24.36036192732169,1699
34,3,share_empaque_GRANEL,0.3715537915369057,0.2998976578118162,1699
35,3,share_familia_JAMON G1,0.08110714354965569,0.15302725541285161,1699
36,3,share_familia_JAMON G2,0.08071905239428913,0.14778875372231892,1699
37,3,share_familia_MORTADELAS,0.1503411781883965,0.1758683124814703,1699
38,3,share_familia_PARRILLEROS,0.010843184907456444,0.03745866761300044,1699
39,3,share_familia_QUESOS,0.11646786151613962,0.18893530979008075,1699
40,3,share_familia_VIENESAS,0.14425831046465473,0.1737412793010118,1699
41,3,share_marca_LA PREFERIDA,0.3411142665852751,0.2580657443025299,1699
42,3,share_marca_SAN JORGE,0.38428181475513035,0.25785664214141885,1699
43,3,skus_distintos,8.859329017068864,6.859578415581022,1699
44,3,ticket_promedio,52950.29685290219,49977.48159747615,1699
45,4,cv_ticket,0.5197754650962141,0.22066046144870297,182
46,4,hhi_familias,0.6688383423432408,0.16557307230740104,182
47,4,n_facturas,16.554945054945055,12.874436220977369,182
48,4,recencia,29.23076923076923,43.54411668351485,182
49,4,share_empaque_GRANEL,0.06916298049010747,0.1312851938466544,182
50,4,share_familia_JAMON G1,0.003265311856550579,0.013156832231703133,182
51,4,share_familia_JAMON G2,0.0025788320480003533,0.012081964028462585,182
52,4,share_familia_MORTADELAS,0.006153255953018153,0.016147148764283848,182
53,4,share_familia_PARRILLEROS,0.7880038424629264,0.11448184061655835,182
54,4,share_familia_QUESOS,0.009742336634285163,0.036275247678176525,182
55,4,share_familia_VIENESAS,0.12095814061056795,0.10642458223474086,182
56,4,share_marca_LA PREFERIDA,0.5004705116212721,0.30058339619229324,182
57,4,share_marca_SAN JORGE,0.3313539196795705,0.2577243248104885,182
58,4,skus_distintos,10.395604395604396,7.4283005512836855,182
59,4,ticket_promedio,109381.90656490896,87442.51267676675,182
60,5,cv_ticket,0.4476721041624764,0.16295134650188658,9337
61,5,hhi_familias,0.2283973606841889,0.11055336372566221,9337
62,5,n_facturas,18.553175538181428,10.21715717840307,9337
63,5,recencia,12.225125843418658,8.788471463445108,9337
64,5,share_empaque_GRANEL,0.291500365738155,0.2226592376487453,9337
65,5,share_familia_JAMON G1,0.03943252043952519,0.07733082513584735,9337
66,5,share_familia_JAMON G2,0.0478008869697305,0.0773721183975259,9337
67,5,share_familia_MORTADELAS,0.14455102042876183,0.1348411927815385,9337
68,5,share_familia_PARRILLEROS,0.004499258354713777,0.010714504305830796,9337
69,5,share_familia_QUESOS,0.048221951552927036,0.07752281668316728,9337
70,5,share_familia_VIENESAS,0.24510921652436124,0.1545627925815554,9337
71,5,share_marca_LA PREFERIDA,0.2425153531913535,0.1480142362333164,9337
72,5,share_marca_SAN JORGE,0.5459827498984275,0.18421341043600895,9337
73,5,skus_distintos,15.403341544393275,6.133276072343868,9337
74,5,ticket_promedio,39390.76119385584,18771.03399150223,9337
75,6,cv_ticket,0.5526227507368063,0.23525435429919359,864
76,6,hhi_familias,0.19967573973158276,0.08617283030685514,864
77,6,n_facturas,21.181712962962962,16.470292476400868,864
78,6,recencia,17.10763888888889,20.47390418810606,864
79,6,share_empaque_GRANEL,0.20314413594776523,0.20132580329515257,864
80,6,share_familia_JAMON G1,0.05116992494774414,0.07576777449004789,864
81,6,share_familia_JAMON G2,0.038882417615574344,0.06051284696471648,864
82,6,share_familia_MORTADELAS,0.08475263721276312,0.09785620406697397,864
83,6,share_familia_PARRILLEROS,0.21253064078668749,0.05080354682670016,864
84,6,share_familia_QUESOS,0.07379377467599424,0.11562807594282314,864
