Cod Cliente,cluster,cluster_agrupado
10433,9,Mortadelas + básicos
10437,8,Charcutería colonial/salchichón
10680,2,Mortadelas + básicos
10737,10,Sin un comportamiento claro
10752,6,Charcutería colonial/salchichón
10772,9,Mortadelas + básicos
10797,8,Charcutería colonial/salchichón
10831,11,Básica vienesa-paté
10836,11,Básica vienesa-paté
10855,6,Charcutería colonial/salchichón
10866,6,Charcutería colonial/salchichón
10994,11,Básica vienesa-paté
11017,6,Charcutería colonial/salchichón
11018,1,Salame laminado + básicos
11063,11,Básica vienesa-paté
11085,6,Charcutería colonial/salchichón
11126,8,Charcutería colonial/salchichón
11169,1,Salame laminado + básicos
11289,11,Básica vienesa-paté
11336,8,Charcutería colonial/salchichón
11386,6,Charcutería colonial/salchichón
11406,8,Charcutería colonial/salchichón
11455,6,Charcutería colonial/salchichón
11505,9,Mortadelas + básicos
11535,11,Básica vienesa-paté
11551,1,Salame laminado + básicos
11596,6,Charcutería colonial/salchichón
11622,2,Mortadelas + básicos
11677,6,Charcutería colonial/salchichón
11683,6,Charcutería colonial/salchichón
11689,8,Charcutería colonial/salchichón
11709,6,Charcutería colonial/salchichón
11746,2,Mortadelas + básicos
11789,8,Charcutería colonial/salchichón
11893,9,Mortadelas + básicos
11970,8,Charcutería colonial/salchichón
11990,6,Charcutería colonial/salchichón
12187,8,Charcutería colonial/salchichón
12225,12,Básica vienesa-paté
12241,11,Básica vienesa-paté
12253,8,Charcutería colonial/salchichón
12258,1,Salame laminado + básicos
12299,1,Salame laminado + básicos
12309,1,Salame laminado + básicos
12335,10,Sin un comportamiento claro
12401,11,Básica vienesa-paté
12446,8,Charcutería colonial/salchichón
12531,1,Salame laminado + básicos
12583,6,Charcutería colonial/salchichón
12589,8,Charcutería colonial/salchichón
12656,13,Formato chico paté-salame-lácteos
12722,6,Charcutería colonial/salchichón
12805,11,Básica vienesa-paté
12883,9,Mortadelas + básicos
12888,11,Básica vienesa-paté
12925,9,Mortadelas + básicos
12944,11,Básica vienesa-paté
13070,6,Charcutería colonial/salchichón
13093,8,Charcutería colonial/salchichón
13118,6,Charcutería colonial/salchichón
13147,2,Mortadelas + básicos
13163,8,Charcutería colonial/salchichón
13184,6,Charcutería colonial/salchichón
13227,11,Básica vienesa-paté
13277,1,Salame laminado + básicos
13283,6,Charcutería colonial/salchichón
13335,13,Formato chico paté-salame-lácteos
13352,6,Charcutería colonial/salchichón
13367,8,Charcutería colonial/salchichón
13500,6,Charcutería colonial/salchichón
13552,6,Charcutería colonial/salchichón
13574,6,Charcutería colonial/salchichón
13622,6,Charcutería colonial/salchichón
13648,6,Charcutería colonial/salchichón
13686,1,Salame laminado + básicos
13756,6,Charcutería colonial/salchichón
13766,11,Básica vienesa-paté
13782,9,Mortadelas + básicos
13935,10,Sin un comportamiento claro
13942,11,Básica vienesa-paté
13962,3,Queso gauda + básicos
14038,6,Charcutería colonial/salchichón
14040,6,Charcutería colonial/salchichón
14045,2,Mortadelas + básicos
14060,9,Mortadelas + básicos
14100,11,Básica vienesa-paté
14126,6,Charcutería colonial/salchichón
14159,6,Charcutería colonial/salchichón
14353,3,Queso gauda + básicos
14398,11,Básica vienesa-paté
14439,8,Charcutería colonial/salchichón
14440,3,Queso gauda + básicos
14482,6,Charcutería colonial/salchichón
14492,6,Charcutería colonial/salchichón
14506,8,Charcutería colonial/salchichón
14586,8,Charcutería colonial/salchichón
14589,12,Básica vienesa-paté
14638,6,Charcutería colonial/salchichón
14641,6,Charcutería colonial/salchichón
14744,10,Sin un comportamiento claro
14851,13,Formato chico paté-salame-lácteos
14858,11,Básica vienesa-paté
14860,8,Charcutería colonial/salchichón
14932,8,Charcutería colonial/salchichón
14937,6,Charcutería colonial/salchichón
14983,6,Charcutería colonial/salchichón
15003,6,Charcutería colonial/salchichón
15106,3,Queso gauda + básicos
15233,10,Sin un comportamiento claro
15241,6,Charcutería colonial/salchichón
15309,11,Básica vienesa-paté
15326,6,Charcutería colonial/salchichón
15374,6,Charcutería colonial/salchichón
15620,1,Salame laminado + básicos
15625,6,Charcutería colonial/salchichón
15660,9,Mortadelas + básicos
15719,1,Salame laminado + básicos
15786,2,Mortadelas + básicos
15842,6,Charcutería colonial/salchichón
15896,6,Charcutería colonial/salchichón
15902,11,Básica vienesa-paté
15964,6,Charcutería colonial/salchichón
16143,13,Formato chico paté-salame-lácteos
16144,11,Básica vienesa-paté
16151,6,Charcutería colonial/salchichón
16199,6,Charcutería colonial/salchichón
16206,11,Básica vienesa-paté
16396,10,Sin un comportamiento claro
16480,11,Básica vienesa-paté
16686,2,Mortadelas + básicos
16949,11,Básica vienesa-paté
16956,1,Salame laminado + básicos
17066,6,Charcutería colonial/salchichón
17097,6,Charcutería colonial/salchichón
17142,2,Mortadelas + básicos
17155,8,Charcutería colonial/salchichón
17222,6,Charcutería colonial/salchichón
17259,11,Básica vienesa-paté
17471,6,Charcutería colonial/salchichón
17489,6,Charcutería colonial/salchichón
17493,8,Charcutería colonial/salchichón
17507,11,Básica vienesa-paté
17520,6,Charcutería colonial/salchichón
17554,10,Sin un comportamiento claro
17574,8,Charcutería colonial/salchichón
17655,12,Básica vienesa-paté
17657,6,Charcutería colonial/salchichón
17704,6,Charcutería colonial/salchichón
17722,6,Charcutería colonial/salchichón
17723,6,Charcutería colonial/salchichón
17735,1,Salame laminado + básicos
17787,9,Mortadelas + básicos
17819,5,Salame chico / comida rápida
17851,1,Salame laminado + básicos
17926,6,Charcutería colonial/salchichón
17944,6,Charcutería colonial/salchichón
17950,6,Charcutería colonial/salchichón
18020,1,Salame laminado + básicos
18041,6,Charcutería colonial/salchichón
18095,6,Charcutería colonial/salchichón
18106,6,Charcutería colonial/salchichón
18165,11,Básica vienesa-paté
18273,6,Charcutería colonial/salchichón
18327,5,Salame chico / comida rápida
18342,6,Charcutería colonial/salchichón
18532,6,Charcutería colonial/salchichón
18578,8,Charcutería colonial/salchichón
18650,12,Básica vienesa-paté
18661,6,Charcutería colonial/salchichón
18747,8,Charcutería colonial/salchichón
18882,6,Charcutería colonial/salchichón
18901,13,Formato chico paté-salame-lácteos
18903,11,Básica vienesa-paté
18909,11,Básica vienesa-paté
18910,1,Salame laminado + básicos
18987,10,Sin un comportamiento claro
19018,12,Básica vienesa-paté
19144,6,Charcutería colonial/salchichón
19252,1,Salame laminado + básicos
19328,9,Mortadelas + básicos
19337,2,Mortadelas + básicos
19365,11,Básica vienesa-paté
19502,11,Básica vienesa-paté
19508,11,Básica vienesa-paté
19605,2,Mortadelas + básicos
19642,3,Queso gauda + básicos
19660,11,Básica vienesa-paté
19717,1,Salame laminado + básicos
19729,11,Básica vienesa-paté
19781,2,Mortadelas + básicos
19845,11,Básica vienesa-paté
19850,6,Charcutería colonial/salchichón
19884,10,Sin un comportamiento claro
19899,8,Charcutería colonial/salchichón
19961,11,Básica vienesa-paté
20015,9,Mortadelas + básicos
20017,6,Charcutería colonial/salchichón
20290,6,Charcutería colonial/salchichón
20300,8,Charcutería colonial/salchichón
20309,6,Charcutería colonial/salchichón
20323,3,Queso gauda + básicos
20332,1,Salame laminado + básicos
20358,9,Mortadelas + básicos
20380,1,Salame laminado + básicos
20454,6,Charcutería colonial/salchichón
20503,6,Charcutería colonial/salchichón
20526,1,Salame laminado + básicos
20531,6,Charcutería colonial/salchichón
20552,2,Mortadelas + básicos
20568,11,Básica vienesa-paté
20569,6,Charcutería colonial/salchichón
20578,8,Charcutería colonial/salchichón
20605,8,Charcutería colonial/salchichón
20627,12,Básica vienesa-paté
20632,11,Básica vienesa-paté
20637,6,Charcutería colonial/salchichón
20720,11,Básica vienesa-paté
21017,8,Charcutería colonial/salchichón
21023,6,Charcutería colonial/salchichón
21091,11,Básica vienesa-paté
21182,6,Charcutería colonial/salchichón
21205,7,Fiambrería tradicional surtida
21220,6,Charcutería colonial/salchichón
21237,6,Charcutería colonial/salchichón
21257,11,Básica vienesa-paté
21259,12,Básica vienesa-paté
21260,11,Básica vienesa-paté
21279,6,Charcutería colonial/salchichón
21320,4,Queso gauda + básicos
21344,1,Salame laminado + básicos
21443,1,Salame laminado + básicos
21462,6,Charcutería colonial/salchichón
21480,6,Charcutería colonial/salchichón
21547,6,Charcutería colonial/salchichón
21621,11,Básica vienesa-paté
21630,6,Charcutería colonial/salchichón
21728,9,Mortadelas + básicos
21737,6,Charcutería colonial/salchichón
21813,6,Charcutería colonial/salchichón
21940,8,Charcutería colonial/salchichón
21957,6,Charcutería colonial/salchichón
22007,6,Charcutería colonial/salchichón
22033,11,Básica vienesa-paté
22041,12,Básica vienesa-paté
22043,9,Mortadelas + básicos
22051,6,Charcutería colonial/salchichón
22052,8,Charcutería colonial/salchichón
22070,2,Mortadelas + básicos
22071,2,Mortadelas + básicos
22110,6,Charcutería colonial/salchichón
22120,2,Mortadelas + básicos
22126,3,Queso gauda + básicos
22147,9,Mortadelas + básicos
22227,11,Básica vienesa-paté
22236,9,Mortadelas + básicos
22269,1,Salame laminado + básicos
22281,8,Charcutería colonial/salchichón
22289,4,Queso gauda + básicos
22335,8,Charcutería colonial/salchichón
22356,6,Charcutería colonial/salchichón
22361,6,Charcutería colonial/salchichón
22362,11,Básica vienesa-paté
22421,12,Básica vienesa-paté
22448,11,Básica vienesa-paté
22494,9,Mortadelas + básicos
22496,12,Básica vienesa-paté
22505,6,Charcutería colonial/salchichón
22512,6,Charcutería colonial/salchichón
22559,2,Mortadelas + básicos
22579,7,Fiambrería tradicional surtida
22595,11,Básica vienesa-paté
22602,8,Charcutería colonial/salchichón
22603,8,Charcutería colonial/salchichón
22605,13,Formato chico paté-salame-lácteos
22682,11,Básica vienesa-paté
22720,9,Mortadelas + básicos
22722,6,Charcutería colonial/salchichón
22766,11,Básica vienesa-paté
22781,12,Básica vienesa-paté
22783,6,Charcutería colonial/salchichón
22813,6,Charcutería colonial/salchichón
22815,8,Charcutería colonial/salchichón
22897,11,Básica vienesa-paté
22898,4,Queso gauda + básicos
22935,10,Sin un comportamiento claro
22937,6,Charcutería colonial/salchichón
22990,3,Queso gauda + básicos
23015,6,Charcutería colonial/salchichón
23022,6,Charcutería colonial/salchichón
23046,9,Mortadelas + básicos
23054,12,Básica vienesa-paté
23093,2,Mortadelas + básicos
23117,9,Mortadelas + básicos
23124,6,Charcutería colonial/salchichón
23153,9,Mortadelas + básicos
23220,4,Queso gauda + básicos
23232,6,Charcutería colonial/salchichón
23266,11,Básica vienesa-paté
23278,6,Charcutería colonial/salchichón
23297,11,Básica vienesa-paté
23307,8,Charcutería colonial/salchichón
23328,5,Salame chico / comida rápida
23478,1,Salame laminado + básicos
23532,5,Salame chico / comida rápida
23584,11,Básica vienesa-paté
