Cod Cliente,cluster,cluster_agrupado
1008336,8,Charcutería colonial/salchichón
1008352,6,Charcutería colonial/salchichón
1008361,6,Charcutería colonial/salchichón
1008366,2,Mortadelas + básicos
1008370,2,Mortadelas + básicos
1008389,8,Charcutería colonial/salchichón
1008394,3,Queso gauda + básicos
1008395,8,Charcutería colonial/salchichón
1008425,6,Charcutería colonial/salchichón
1008427,1,Salame laminado + básicos
1008456,7,Fiambrería tradicional surtida
1008470,12,Básica vienesa-paté
1008471,11,Básica vienesa-paté
1008477,7,Fiambrería tradicional surtida
1008478,2,Mortadelas + básicos
1008500,6,Charcutería colonial/salchichón
1008534,2,Mortadelas + básicos
1008539,3,Queso gauda + básicos
1008560,11,Básica vienesa-paté
1008563,2,Mortadelas + básicos
1008610,12,Básica vienesa-paté
1008615,12,Básica vienesa-paté
1008624,12,Básica vienesa-paté
1008634,13,Formato chico paté-salame-lácteos
1008639,9,Mortadelas + básicos
1008686,7,Fiambrería tradicional surtida
1008700,13,Formato chico paté-salame-lácteos
1008729,11,Básica vienesa-paté
1008736,11,Básica vienesa-paté
1008749,5,Salame chico / comida rápida
1008802,10,Sin un comportamiento claro
1008805,10,Sin un comportamiento claro
1008834,8,Charcutería colonial/salchichón
1008868,4,Queso gauda + básicos
1008875,9,Mortadelas + básicos
1008883,5,Salame chico / comida rápida
1008906,6,Charcutería colonial/salchichón
1008919,6,Charcutería colonial/salchichón
1008934,2,Mortadelas + básicos
1008935,2,Mortadelas + básicos
1008945,9,Mortadelas + básicos
1008949,10,Sin un comportamiento claro
1008992,3,Queso gauda + básicos
1008994,6,Charcutería colonial/salchichón
1009018,13,Formato chico paté-salame-lácteos
1009019,4,Queso gauda + básicos
1009022,5,Salame chico / comida rápida
1009023,10,Sin un comportamiento claro
1009028,10,Sin un comportamiento claro
1009032,4,Queso gauda + básicos
1009051,5,Salame chico / comida rápida
1009058,2,Mortadelas + básicos
1009070,3,Queso gauda + básicos
1009103,2,Mortadelas + básicos
1009120,10,Sin un comportamiento claro
1009162,7,Fiambrería tradicional surtida
1009245,11,Básica vienesa-paté
1009266,12,Básica vienesa-paté
1009270,11,Básica vienesa-paté
1009273,2,Mortadelas + básicos
1009278,8,Charcutería colonial/salchichón
1009295,11,Básica vienesa-paté
1009299,2,Mortadelas + básicos
1009302,5,Salame chico / comida rápida
1009303,5,Salame chico / comida rápida
1009310,3,Queso gauda + básicos
1009317,3,Queso gauda + básicos
1009338,12,Básica vienesa-paté
1009345,2,Mortadelas + básicos
1009352,5,Salame chico / comida rápida
1009369,1,Salame laminado + básicos
1009385,2,Mortadelas + básicos
1009413,2,Mortadelas + básicos
1009434,1,Salame laminado + básicos
1009471,6,Charcutería colonial/salchichón
1009510,11,Básica vienesa-paté
1009517,7,Fiambrería tradicional surtida
1009554,1,Salame laminado + básicos
1009562,6,Charcutería colonial/salchichón
1009567,6,Charcutería colonial/salchichón
1009569,6,Charcutería colonial/salchichón
1009589,11,Básica vienesa-paté
1009600,2,Mortadelas + básicos
1009602,6,Charcutería colonial/salchichón
1009604,10,Sin un comportamiento claro
1009640,11,Básica vienesa-paté
1009648,11,Básica vienesa-paté
1009652,3,Queso gauda + básicos
1009688,10,Sin un comportamiento claro
1009692,10,Sin un comportamiento claro
1009694,11,Básica vienesa-paté
1009704,3,Queso gauda + básicos
1009705,7,Fiambrería tradicional surtida
1009712,13,Formato chico paté-salame-lácteos
1009758,3,Queso gauda + básicos
1009764,11,Básica vienesa-paté
1009789,10,Sin un comportamiento claro
1009817,12,Básica vienesa-paté
1009833,9,Mortadelas + básicos
1009835,1,Salame laminado + básicos
1009865,2,Mortadelas + básicos
1009866,8,Charcutería colonial/salchichón
1009871,6,Charcutería colonial/salchichón
1009898,5,Salame chico / comida rápida
1009987,12,Básica vienesa-paté
1010001,9,Mortadelas + básicos
1010012,6,Charcutería colonial/salchichón
1010032,9,Mortadelas + básicos
1010034,1,Salame laminado + básicos
1010054,9,Mortadelas + básicos
1010061,10,Sin un comportamiento claro
1010066,3,Queso gauda + básicos
1010069,4,Queso gauda + básicos
1010075,11,Básica vienesa-paté
1010082,2,Mortadelas + básicos
1010100,10,Sin un comportamiento claro
1010106,2,Mortadelas + básicos
1010107,11,Básica vienesa-paté
1010116,6,Charcutería colonial/salchichón
1010133,6,Charcutería colonial/salchichón
1010141,3,Queso gauda + básicos
1010152,6,Charcutería colonial/salchichón
1010180,6,Charcutería colonial/salchichón
1010184,2,Mortadelas + básicos
1010190,8,Charcutería colonial/salchichón
1010215,12,Básica vienesa-paté
1010225,9,Mortadelas + básicos
1010245,6,Charcutería colonial/salchichón
1010252,2,Mortadelas + básicos
1010254,11,Básica vienesa-paté
1010263,10,Sin un comportamiento claro
1010325,1,Salame laminado + básicos
1010337,10,Sin un comportamiento claro
1010356,12,Básica vienesa-paté
1010357,4,Queso gauda + básicos
1010360,10,Sin un comportamiento claro
1010403,12,Básica vienesa-paté
1010406,11,Básica vienesa-paté
1010474,2,Mortadelas + básicos
1010478,6,Charcutería colonial/salchichón
1010546,11,Básica vienesa-paté
1010603,7,Fiambrería tradicional surtida
1010616,6,Charcutería colonial/salchichón
1010627,9,Mortadelas + básicos
1010677,9,Mortadelas + básicos
1010684,5,Salame chico / comida rápida
1010696,2,Mortadelas + básicos
1010697,1,Salame laminado + básicos
1010702,11,Básica vienesa-paté
1010708,12,Básica vienesa-paté
1010713,8,Charcutería colonial/salchichón
1010725,4,Queso gauda + básicos
1010735,9,Mortadelas + básicos
1010737,6,Charcutería colonial/salchichón
1010743,2,Mortadelas + básicos
1010750,8,Charcutería colonial/salchichón
1010820,8,Charcutería colonial/salchichón
1010855,10,Sin un comportamiento claro
1010865,2,Mortadelas + básicos
1010866,4,Queso gauda + básicos
1010875,13,Formato chico paté-salame-lácteos
1010880,2,Mortadelas + básicos
1010920,11,Básica vienesa-paté
1010927,8,Charcutería colonial/salchichón
1010956,10,Sin un comportamiento claro
1010958,13,Formato chico paté-salame-lácteos
1010960,7,Fiambrería tradicional surtida
1010994,6,Charcutería colonial/salchichón
1011039,1,Salame laminado + básicos
1011053,11,Básica vienesa-paté
1011066,7,Fiambrería tradicional surtida
1011075,7,Fiambrería tradicional surtida
1011107,1,Salame laminado + básicos
1011148,13,Formato chico paté-salame-lácteos
1011154,7,Fiambrería tradicional surtida
1011157,9,Mortadelas + básicos
1011192,12,Básica vienesa-paté
1011200,4,Queso gauda + básicos
1011205,8,Charcutería colonial/salchichón
1011206,7,Fiambrería tradicional surtida
1011227,6,Charcutería colonial/salchichón
1011235,6,Charcutería colonial/salchichón
1011239,3,Queso gauda + básicos
1011249,8,Charcutería colonial/salchichón
1011271,1,Salame laminado + básicos
1011282,2,Mortadelas + básicos
1011293,8,Charcutería colonial/salchichón
1011313,4,Queso gauda + básicos
1011317,9,Mortadelas + básicos
1011323,6,Charcutería colonial/salchichón
1011359,10,Sin un comportamiento claro
1011370,9,Mortadelas + básicos
1011381,11,Básica vienesa-paté
1011382,6,Charcutería colonial/salchichón
1011396,11,Básica vienesa-paté
1011399,8,Charcutería colonial/salchichón
1011408,8,Charcutería colonial/salchichón
1011461,11,Básica vienesa-paté
1011470,12,Básica vienesa-paté
1011487,12,Básica vienesa-paté
1011518,6,Charcutería colonial/salchichón
1011522,11,Básica vienesa-paté
1011553,10,Sin un comportamiento claro
1011569,12,Básica vienesa-paté
1011577,12,Básica vienesa-paté
1011580,6,Charcutería colonial/salchichón
1011581,6,Charcutería colonial/salchichón
1011605,6,Charcutería colonial/salchichón
1011606,6,Charcutería colonial/salchichón
1011707,6,Charcutería colonial/salchichón
1011718,2,Mortadelas + básicos
1011755,3,Queso gauda + básicos
1011781,9,Mortadelas + básicos
1011794,12,Básica vienesa-paté
1011798,12,Básica vienesa-paté
1011807,13,Formato chico paté-salame-lácteos
1011812,7,Fiambrería tradicional surtida
1011824,1,Salame laminado + básicos
1011857,10,Sin un comportamiento claro
1011891,3,Queso gauda + básicos
1011913,9,Mortadelas + básicos
1011945,6,Charcutería colonial/salchichón
1011946,6,Charcutería colonial/salchichón
1011955,2,Mortadelas + básicos
1011963,7,Fiambrería tradicional surtida
1011984,5,Salame chico / comida rápida
1012002,4,Queso gauda + básicos
1012009,6,Charcutería colonial/salchichón
1012018,12,Básica vienesa-paté
1012033,6,Charcutería colonial/salchichón
1012088,8,Charcutería colonial/salchichón
1012090,3,Queso gauda + básicos
1012123,4,Queso gauda + básicos
1012125,5,Salame chico / comida rápida
1012133,2,Mortadelas + básicos
1012134,3,Queso gauda + básicos
1012146,1,Salame laminado + básicos
1012208,8,Charcutería colonial/salchichón
1012216,11,Básica vienesa-paté
1012284,2,Mortadelas + básicos
1012332,3,Queso gauda + básicos
1012336,11,Básica vienesa-paté
1012352,11,Básica vienesa-paté
1012366,12,Básica vienesa-paté
1012385,6,Charcutería colonial/salchichón
1012428,12,Básica vienesa-paté
1012440,2,Mortadelas + básicos
1012447,2,Mortadelas + básicos
1012581,5,Salame chico / comida rápida
1012593,6,Charcutería colonial/salchichón
1012615,11,Básica vienesa-paté
1012617,2,Mortadelas + básicos
1012651,6,Charcutería colonial/salchichón
1012661,9,Mortadelas + básicos
1012662,2,Mortadelas + básicos
1012673,6,Charcutería colonial/salchichón
1012692,9,Mortadelas + básicos
1012750,5,Salame chico / comida rápida
1012751,2,Mortadelas + básicos
1012752,10,Sin un comportamiento claro
1012801,3,Queso gauda + básicos
1012802,3,Queso gauda + básicos
1012821,1,Salame laminado + básicos
1012825,10,Sin un comportamiento claro
1012826,5,Salame chico / comida rápida
1012833,9,Mortadelas + básicos
1012836,1,Salame laminado + básicos
1012848,6,Charcutería colonial/salchichón
1012852,6,Charcutería colonial/salchichón
1012879,9,Mortadelas + básicos
1012887,9,Mortadelas + básicos
1012888,1,Salame laminado + básicos
1012901,10,Sin un comportamiento claro
1012913,2,Mortadelas + básicos
1012922,3,Queso gauda + básicos
1012925,4,Queso gauda + básicos
1012931,6,Charcutería colonial/salchichón
1012936,6,Charcutería colonial/salchichón
1012938,2,Mortadelas + básicos
1012964,2,Mortadelas + básicos
1012973,6,Charcutería colonial/salchichón
1012993,11,Básica vienesa-paté
1012994,8,Charcutería colonial/salchichón
1012997,3,Queso gauda + básicos
1013011,8,Charcutería colonial/salchichón
1013022,8,Charcutería colonial/salchichón
1013043,9,Mortadelas + básicos
1013091,7,Fiambrería tradicional surtida
1013113,6,Charcutería colonial/salchichón
1013117,6,Charcutería colonial/salchichón
1013147,6,Charcutería colonial/salchichón
1013157,8,Charcutería colonial/salchichón
1013186,6,Charcutería colonial/salchichón
1013204,6,Charcutería colonial/salchichón
1013206,6,Charcutería colonial/salchichón
1013216,7,Fiambrería tradicional surtida
1013234,8,Charcutería colonial/salchichón
1013248,10,Sin un comportamiento claro
1013250,10,Sin un comportamiento claro
1013261,10,Sin un comportamiento claro
1013268,8,Charcutería colonial/salchichón
1013280,1,Salame laminado + básicos
1013283,7,Fiambrería tradicional surtida
1013309,8,Charcutería colonial/salchichón
1013313,2,Mortadelas + básicos
1013332,12,Básica vienesa-paté
1013337,2,Mortadelas + básicos
1013339,3,Queso gauda + básicos
1013359,6,Charcutería colonial/salchichón
1013366,6,Charcutería colonial/salchichón
1013384,11,Básica vienesa-paté
1013394,10,Sin un comportamiento claro
1013399,2,Mortadelas + básicos
1013480,6,Charcutería colonial/salchichón
1013485,1,Salame laminado + básicos
1013487,3,Queso gauda + básicos
1013503,9,Mortadelas + básicos
1013515,11,Básica vienesa-paté
1013518,7,Fiambrería tradicional surtida
1013531,8,Charcutería colonial/salchichón
1013540,4,Queso gauda + básicos
1013541,6,Charcutería colonial/salchichón
1013567,10,Sin un comportamiento claro
1013578,1,Salame laminado + básicos
1013593,12,Básica vienesa-paté
1013602,6,Charcutería colonial/salchichón
1013609,4,Queso gauda + básicos
1013610,10,Sin un comportamiento claro
1013647,6,Charcutería colonial/salchichón
1013650,1,Salame laminado + básicos
1013651,1,Salame laminado + básicos
1013660,10,Sin un comportamiento claro
1013662,7,Fiambrería tradicional surtida
1013700,11,Básica vienesa-paté
1013734,10,Sin un comportamiento claro
1013739,6,Charcutería colonial/salchichón
1013741,12,Básica vienesa-paté
1013766,5,Salame chico / comida rápida
1013798,1,Salame laminado + básicos
1013808,9,Mortadelas + básicos
1013824,7,Fiambrería tradicional surtida
1013860,6,Charcutería colonial/salchichón
1013861,9,Mortadelas + básicos
1013863,11,Básica vienesa-paté
1013867,6,Charcutería colonial/salchichón
1013884,9,Mortadelas + básicos
1013907,4,Queso gauda + básicos
1013914,7,Fiambrería tradicional surtida
1013932,11,Básica vienesa-paté
1013935,11,Básica vienesa-paté
1013959,1,Salame laminado + básicos
1014012,6,Charcutería colonial/salchichón
1014015,10,Sin un comportamiento claro
1014018,11,Básica vienesa-paté
1014046,3,Queso gauda + básicos
1014072,7,Fiambrería tradicional surtida
1014094,11,Básica vienesa-paté
1014102,3,Queso gauda + básicos
1014104,2,Mortadelas + básicos
1014124,3,Queso gauda + básicos
1014214,11,Básica vienesa-paté
1014219,3,Queso gauda + básicos
1014238,12,Básica vienesa-paté
1014244,2,Mortadelas + básicos
1014245,11,Básica vienesa-paté
1014254,11,Básica vienesa-paté
1014260,8,Charcutería colonial/salchichón
1014261,9,Mortadelas + básicos
1014265,3,Queso gauda + básicos
1014309,9,Mortadelas + básicos
1014314,2,Mortadelas + básicos
1014324,8,Charcutería colonial/salchichón
1014325,9,Mortadelas + básicos
1014393,11,Básica vienesa-paté
1014425,6,Charcutería colonial/salchichón
1014450,3,Queso gauda + básicos
1014468,12,Básica vienesa-paté
1014494,13,Formato chico paté-salame-lácteos
1014504,11,Básica vienesa-paté
1014515,6,Charcutería colonial/salchichón
1014516,6,Charcutería colonial/salchichón
1014517,11,Básica vienesa-paté
1014520,3,Queso gauda + básicos
1014523,11,Básica vienesa-paté
1014531,9,Mortadelas + básicos
1014576,4,Queso gauda + básicos
1014583,4,Queso gauda + básicos
1014584,12,Básica vienesa-paté
1014590,2,Mortadelas + básicos
1014595,11,Básica vienesa-paté
1014649,12,Básica vienesa-paté
1014653,3,Queso gauda + básicos
1014682,3,Queso gauda + básicos
1014709,7,Fiambrería tradicional surtida
1014737,4,Queso gauda + básicos
1014744,6,Charcutería colonial/salchichón
1014748,6,Charcutería colonial/salchichón
1014752,9,Mortadelas + básicos
1014774,10,Sin un comportamiento claro
1014779,5,Salame chico / comida rápida
1014780,12,Básica vienesa-paté
1014798,6,Charcutería colonial/salchichón
1014835,1,Salame laminado + básicos
1014852,6,Charcutería colonial/salchichón
1014863,6,Charcutería colonial/salchichón
1014877,5,Salame chico / comida rápida
1014880,5,Salame chico / comida rápida
1014891,3,Queso gauda + básicos
1014893,4,Queso gauda + básicos
1014924,6,Charcutería colonial/salchichón
1014933,6,Charcutería colonial/salchichón
1014935,9,Mortadelas + básicos
1014956,6,Charcutería colonial/salchichón
1015004,1,Salame laminado + básicos
1015013,6,Charcutería colonial/salchichón
1015016,10,Sin un comportamiento claro
1015029,12,Básica vienesa-paté
1015040,3,Queso gauda + básicos
1015044,11,Básica vienesa-paté
1015078,1,Salame laminado + básicos
1015084,8,Charcutería colonial/salchichón
1015089,8,Charcutería colonial/salchichón
1015097,2,Mortadelas + básicos
1015105,4,Queso gauda + básicos
1015126,6,Charcutería colonial/salchichón
1015127,11,Básica vienesa-paté
1015144,2,Mortadelas + básicos
1015201,7,Fiambrería tradicional surtida
1015205,6,Charcutería colonial/salchichón
1015220,11,Básica vienesa-paté
1015313,8,Charcutería colonial/salchichón
1015319,2,Mortadelas + básicos
1015325,2,Mortadelas + básicos
1015350,6,Charcutería colonial/salchichón
1015368,12,Básica vienesa-paté
1015376,6,Charcutería colonial/salchichón
1015394,13,Formato chico paté-salame-lácteos
1015473,9,Mortadelas + básicos
1015476,1,Salame laminado + básicos
1015506,9,Mortadelas + básicos
1015516,1,Salame laminado + básicos
1015544,8,Charcutería colonial/salchichón
1015559,6,Charcutería colonial/salchichón
1015561,6,Charcutería colonial/salchichón
1015567,1,Salame laminado + básicos
1015577,4,Queso gauda + básicos
1015589,7,Fiambrería tradicional surtida
1015592,8,Charcutería colonial/salchichón
1015595,13,Formato chico paté-salame-lácteos
1015603,3,Queso gauda + básicos
1015609,9,Mortadelas + básicos
1015619,8,Charcutería colonial/salchichón
1015630,13,Formato chico paté-salame-lácteos
1015652,13,Formato chico paté-salame-lácteos
1015682,6,Charcutería colonial/salchichón
1015726,6,Charcutería colonial/salchichón
1015759,3,Queso gauda + básicos
1015777,1,Salame laminado + básicos
1015780,13,Formato chico paté-salame-lácteos
1015781,13,Formato chico paté-salame-lácteos
1015789,13,Formato chico paté-salame-lácteos
1015790,13,Formato chico paté-salame-lácteos
1015975,3,Queso gauda + básicos
1015983,2,Mortadelas + básicos
1016038,13,Formato chico paté-salame-lácteos
1016048,13,Formato chico paté-salame-lácteos
1016060,6,Charcutería colonial/salchichón
1016147,13,Formato chico paté-salame-lácteos
1016282,3,Queso gauda + básicos
1016350,10,Sin un comportamiento claro
1016375,9,Mortadelas + básicos
1016386,6,Charcutería colonial/salchichón
1016437,8,Charcutería colonial/salchichón
1016474,1,Salame laminado + básicos
1016480,13,Formato chico paté-salame-lácteos
1016490,4,Queso gauda + básicos
1016491,13,Formato chico paté-salame-lácteos
1016562,3,Queso gauda + básicos
1016587,10,Sin un comportamiento claro
1016908,12,Básica vienesa-paté
1016911,3,Queso gauda + básicos
1016919,11,Básica vienesa-paté
1016920,3,Queso gauda + básicos
1016921,3,Queso gauda + básicos
1016945,6,Charcutería colonial/salchichón
1016956,6,Charcutería colonial/salchichón
1016960,6,Charcutería colonial/salchichón
1016966,6,Charcutería colonial/salchichón
1017014,3,Queso gauda + básicos
1017040,1,Salame laminado + básicos
1017090,6,Charcutería colonial/salchichón
1017110,6,Charcutería colonial/salchichón
1017124,8,Charcutería colonial/salchichón
1017145,3,Queso gauda + básicos
1017307,1,Salame laminado + básicos
1017321,11,Básica vienesa-paté
1017328,10,Sin un comportamiento claro
1017336,6,Charcutería colonial/salchichón
1017356,6,Charcutería colonial/salchichón
1017440,13,Formato chico paté-salame-lácteos
1017460,6,Charcutería colonial/salchichón
1017475,7,Fiambrería tradicional surtida
1017505,6,Charcutería colonial/salchichón
1017553,1,Salame laminado + básicos
1017574,7,Fiambrería tradicional surtida
1017629,1,Salame laminado + básicos
1017656,7,Fiambrería tradicional surtida
1017673,11,Básica vienesa-paté
1017695,8,Charcutería colonial/salchichón
1017751,12,Básica vienesa-paté
1017753,6,Charcutería colonial/salchichón
1017799,9,Mortadelas + básicos
1017827,12,Básica vienesa-paté
1017834,7,Fiambrería tradicional surtida
1017854,1,Salame laminado + básicos
1017999,6,Charcutería colonial/salchichón
1018004,6,Charcutería colonial/salchichón
1018005,6,Charcutería colonial/salchichón
1018068,13,Formato chico paté-salame-lácteos
1018070,1,Salame laminado + básicos
1018083,1,Salame laminado + básicos
1018112,13,Formato chico paté-salame-lácteos
1018132,1,Salame laminado + básicos
1018153,11,Básica vienesa-paté
1018173,2,Mortadelas + básicos
1018258,1,Salame laminado + básicos
1018435,13,Formato chico paté-salame-lácteos
1018453,4,Queso gauda + básicos
1018457,13,Formato chico paté-salame-lácteos
1018464,1,Salame laminado + básicos
1018512,13,Formato chico paté-salame-lácteos
1018539,5,Salame chico / comida rápida
1018994,3,Queso gauda + básicos
1019158,10,Sin un comportamiento claro
1019367,8,Charcutería colonial/salchichón
1019417,10,Sin un comportamiento claro
1019425,4,Queso gauda + básicos
1019428,11,Básica vienesa-paté
1019490,8,Charcutería colonial/salchichón
1019498,6,Charcutería colonial/salchichón
1019511,5,Salame chico / comida rápida
1019524,8,Charcutería colonial/salchichón
1019529,2,Mortadelas + básicos
1019535,6,Charcutería colonial/salchichón
1019548,9,Mortadelas + básicos
1019581,11,Básica vienesa-paté
1019587,10,Sin un comportamiento claro
1019602,9,Mortadelas + básicos
1019630,1,Salame laminado + básicos
1019656,10,Sin un comportamiento claro
1019758,7,Fiambrería tradicional surtida
1019815,12,Básica vienesa-paté
1019819,12,Básica vienesa-paté
1019820,12,Básica vienesa-paté
1019821,8,Charcutería colonial/salchichón
1019848,6,Charcutería colonial/salchichón
1019852,2,Mortadelas + básicos
1019855,9,Mortadelas + básicos
1019877,3,Queso gauda + básicos
1019900,8,Charcutería colonial/salchichón
1019904,2,Mortadelas + básicos
1019906,2,Mortadelas + básicos
1019960,7,Fiambrería tradicional surtida
1019963,4,Queso gauda + básicos
1019989,10,Sin un comportamiento claro
1019992,2,Mortadelas + básicos
1019995,2,Mortadelas + básicos
1019999,13,Formato chico paté-salame-lácteos
1020020,4,Queso gauda + básicos
1020046,6,Charcutería colonial/salchichón
1020048,6,Charcutería colonial/salchichón
1020067,9,Mortadelas + básicos
1020093,7,Fiambrería tradicional surtida
1020107,9,Mortadelas + básicos
1020109,2,Mortadelas + básicos
1020111,6,Charcutería colonial/salchichón
1020131,12,Básica vienesa-paté
1020148,11,Básica vienesa-paté
1020153,2,Mortadelas + básicos
1020163,3,Queso gauda + básicos
1020167,8,Charcutería colonial/salchichón
1020168,6,Charcutería colonial/salchichón
1020208,3,Queso gauda + básicos
1020220,9,Mortadelas + básicos
1020231,6,Charcutería colonial/salchichón
1020232,4,Queso gauda + básicos
1020310,11,Básica vienesa-paté
1020325,5,Salame chico / comida rápida
1020332,9,Mortadelas + básicos
1020362,2,Mortadelas + básicos
1020401,2,Mortadelas + básicos
1020416,10,Sin un comportamiento claro
1020469,8,Charcutería colonial/salchichón
1020470,12,Básica vienesa-paté
1020474,11,Básica vienesa-paté
1020528,11,Básica vienesa-paté
1020535,2,Mortadelas + básicos
1020540,8,Charcutería colonial/salchichón
1020557,6,Charcutería colonial/salchichón
1020565,11,Básica vienesa-paté
1020575,7,Fiambrería tradicional surtida
1020604,1,Salame laminado + básicos
1020629,11,Básica vienesa-paté
1020644,8,Charcutería colonial/salchichón
1020649,3,Queso gauda + básicos
1020669,10,Sin un comportamiento claro
1020684,6,Charcutería colonial/salchichón
1020690,1,Salame laminado + básicos
1020734,6,Charcutería colonial/salchichón
1020749,3,Queso gauda + básicos
1020752,7,Fiambrería tradicional surtida
1020785,9,Mortadelas + básicos
1020799,11,Básica vienesa-paté
1020809,4,Queso gauda + básicos
1020816,11,Básica vienesa-paté
1020819,1,Salame laminado + básicos
1020826,6,Charcutería colonial/salchichón
1020830,6,Charcutería colonial/salchichón
1020842,9,Mortadelas + básicos
1020911,2,Mortadelas + básicos
1020918,8,Charcutería colonial/salchichón
1020921,4,Queso gauda + básicos
1020933,7,Fiambrería tradicional surtida
1020934,9,Mortadelas + básicos
1020935,10,Sin un comportamiento claro
1020991,2,Mortadelas + básicos
1021023,7,Fiambrería tradicional surtida
1021048,6,Charcutería colonial/salchichón
1021049,8,Charcutería colonial/salchichón
1021078,11,Básica vienesa-paté
1021089,6,Charcutería colonial/salchichón
1021101,10,Sin un comportamiento claro
1021159,11,Básica vienesa-paté
1021164,10,Sin un comportamiento claro
1021169,6,Charcutería colonial/salchichón
1021206,10,Sin un comportamiento claro
1021207,12,Básica vienesa-paté
1021225,11,Básica vienesa-paté
1021248,6,Charcutería colonial/salchichón
1021253,6,Charcutería colonial/salchichón
1021269,9,Mortadelas + básicos
1021276,8,Charcutería colonial/salchichón
1021320,5,Salame chico / comida rápida
1021331,10,Sin un comportamiento claro
1021336,6,Charcutería colonial/salchichón
1021352,12,Básica vienesa-paté
1021379,8,Charcutería colonial/salchichón
1021403,4,Queso gauda + básicos
1021404,2,Mortadelas + básicos
1021423,2,Mortadelas + básicos
1021425,2,Mortadelas + básicos
1021431,11,Básica vienesa-paté
1021475,3,Queso gauda + básicos
1021522,13,Formato chico paté-salame-lácteos
1021534,9,Mortadelas + básicos
1021536,6,Charcutería colonial/salchichón
1021546,8,Charcutería colonial/salchichón
1021572,2,Mortadelas + básicos
1021604,3,Queso gauda + básicos
1021619,3,Queso gauda + básicos
1021669,2,Mortadelas + básicos
1021670,8,Charcutería colonial/salchichón
1021677,12,Básica vienesa-paté
1021690,2,Mortadelas + básicos
1021692,1,Salame laminado + básicos
1021699,11,Básica vienesa-paté
1021711,12,Básica vienesa-paté
1021720,7,Fiambrería tradicional surtida
1021722,11,Básica vienesa-paté
1021727,3,Queso gauda + básicos
1021758,5,Salame chico / comida rápida
1021761,10,Sin un comportamiento claro
1021766,3,Queso gauda + básicos
1021769,2,Mortadelas + básicos
1021784,8,Charcutería colonial/salchichón
1021789,2,Mortadelas + básicos
1021795,11,Básica vienesa-paté
1021798,1,Salame laminado + básicos
1021817,2,Mortadelas + básicos
1021837,1,Salame laminado + básicos
1021841,7,Fiambrería tradicional surtida
1021874,6,Charcutería colonial/salchichón
1021887,8,Charcutería colonial/salchichón
1021890,5,Salame chico / comida rápida
1021894,2,Mortadelas + básicos
1021897,9,Mortadelas + básicos
1021898,8,Charcutería colonial/salchichón
1021899,2,Mortadelas + básicos
1021900,10,Sin un comportamiento claro
1021904,9,Mortadelas + básicos
1021911,6,Charcutería colonial/salchichón
1021918,13,Formato chico paté-salame-lácteos
1021959,12,Básica vienesa-paté
1021968,8,Charcutería colonial/salchichón
1021969,11,Básica vienesa-paté
1021975,1,Salame laminado + básicos
1021981,9,Mortadelas + básicos
1021999,3,Queso gauda + básicos
1022029,3,Queso gauda + básicos
1022045,1,Salame laminado + básicos
1022061,3,Queso gauda + básicos
1022074,3,Queso gauda + básicos
1022080,5,Salame chico / comida rápida
1022100,9,Mortadelas + básicos
1022141,6,Charcutería colonial/salchichón
1022142,2,Mortadelas + básicos
1022156,8,Charcutería colonial/salchichón
1022181,2,Mortadelas + básicos
1022231,12,Básica vienesa-paté
1022240,6,Charcutería colonial/salchichón
1022241,8,Charcutería colonial/salchichón
1022249,6,Charcutería colonial/salchichón
1022278,11,Básica vienesa-paté
1022289,5,Salame chico / comida rápida
1022324,4,Queso gauda + básicos
1022326,2,Mortadelas + básicos
1022353,9,Mortadelas + básicos
1022356,5,Salame chico / comida rápida
1022373,9,Mortadelas + básicos
1022386,12,Básica vienesa-paté
1022398,11,Básica vienesa-paté
1022465,6,Charcutería colonial/salchichón
1022494,5,Salame chico / comida rápida
1022503,10,Sin un comportamiento claro
1022535,3,Queso gauda + básicos
1022547,8,Charcutería colonial/salchichón
1022582,7,Fiambrería tradicional surtida
1022594,5,Salame chico / comida rápida
1022595,11,Básica vienesa-paté
1022608,7,Fiambrería tradicional surtida
1022631,3,Queso gauda + básicos
1022638,9,Mortadelas + básicos
1022670,5,Salame chico / comida rápida
1022692,10,Sin un comportamiento claro
1022711,10,Sin un comportamiento claro
1022714,2,Mortadelas + básicos
1022717,4,Queso gauda + básicos
1022752,1,Salame laminado + básicos
1022817,7,Fiambrería tradicional surtida
1022829,4,Queso gauda + básicos
1022841,8,Charcutería colonial/salchichón
1022864,8,Charcutería colonial/salchichón
1022870,2,Mortadelas + básicos
1022879,1,Salame laminado + básicos
1022881,8,Charcutería colonial/salchichón
1022884,6,Charcutería colonial/salchichón
1022898,1,Salame laminado + básicos
1022906,6,Charcutería colonial/salchichón
1022914,4,Queso gauda + básicos
1022923,2,Mortadelas + básicos
1023001,12,Básica vienesa-paté
1023004,3,Queso gauda + básicos
1023011,12,Básica vienesa-paté
1023049,3,Queso gauda + básicos
1023109,8,Charcutería colonial/salchichón
1023112,1,Salame laminado + básicos
1023155,4,Queso gauda + básicos
1023159,2,Mortadelas + básicos
1023186,2,Mortadelas + básicos
1023202,3,Queso gauda + básicos
1023205,9,Mortadelas + básicos
1023208,2,Mortadelas + básicos
1023209,1,Salame laminado + básicos
1023211,8,Charcutería colonial/salchichón
1023215,3,Queso gauda + básicos
1023229,2,Mortadelas + básicos
1023246,11,Básica vienesa-paté
